                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.2403,                 1.9718,                 2.5401,                0.30757,                0.48043,                0.32447,                0.12165,                 2.2129,                 2.4346,                 2.9561,               0.008911,               0.008911,               0.008911
                     35,                 2.3136,                  2.099,                 2.6274,                0.14969,                0.42705,                0.12981,                0.03392,                 2.5667,                 8.0944,                 3.5311,               0.008878,               0.008878,               0.008878
                     36,                 2.1778,                  2.008,                 2.4856,                0.45281,                0.33572,                0.39468,                 0.1716,                 2.2084,                 4.7504,                 3.0323,               0.008845,               0.008845,               0.008845
                     37,                 2.2463,                 2.1541,                 2.5343,                0.17805,                0.42705,                0.18788,                0.06657,                 2.2384,                 3.1559,                 2.8884,               0.008812,               0.008812,               0.008812
                     38,                 2.1861,                 2.0926,                 2.4739,                0.40944,                0.49466,                0.36116,                 0.1461,                 2.2743,                 2.3389,                  2.875,               0.008779,               0.008779,               0.008779
                     39,                 2.0975,                 1.9508,                 2.4009,                0.34615,                0.42349,                0.25378,                0.08807,                 2.3531,                 2.5879,                 2.9774,               0.008746,               0.008746,               0.008746
                     40,                 2.2491,                 2.1179,                  2.558,                0.49696,                0.53737,                0.42476,                  0.193,                      2,                 2.1321,                 2.6348,               0.008713,               0.008713,               0.008713
                     41,                 2.0791,                 1.8865,                  2.339,                0.42938,                0.53025,                0.43502,                0.22038,                 1.9581,                  2.219,                 2.6029,                0.00868,                0.00868,                0.00868
                     42,                 2.0293,                 2.0942,                 2.4088,                0.40207,                0.54323,                0.36533,                0.15889,                 2.1235,                 2.5356,                  2.739,               0.008647,               0.008647,               0.008647
                     43,                 2.1479,                  1.998,                 2.5095,                0.37967,                 0.5694,                0.41986,                0.20071,                 1.9546,                 2.3721,                 2.5758,               0.008614,               0.008614,               0.008614
                     44,                  1.921,                 1.7476,                 2.1612,                0.53908,                0.53381,                0.49836,                0.27042,                 1.8986,                 3.4929,                 2.5475,               0.008581,               0.008581,               0.008581
                     45,                   1.95,                 1.9843,                 2.3226,                0.54821,                0.62633,                0.55687,                0.28003,                 1.9252,                 2.4817,                 2.5915,               0.008548,               0.008548,               0.008548
                     46,                 1.9642,                 1.8003,                 2.3572,                0.43982,                0.57839,                0.39708,                0.17908,                 2.0642,                 3.3005,                 2.7191,               0.008515,               0.008515,               0.008515
                     47,                 1.9745,                 1.7054,                 2.2283,                0.45147,                0.60498,                 0.5032,                 0.2425,                 1.8648,                  2.952,                 2.4647,               0.008482,               0.008482,               0.008482
                     48,                 1.9329,                  1.861,                 2.2473,                0.17986,                 0.3879,                0.15722,                0.06334,                 1.9639,                 2.3925,                 2.5103,               0.008449,               0.008449,               0.008449
                     49,                 1.9392,                 1.8995,                 2.2816,                0.54911,                0.57207,                0.56892,                0.28079,                 1.7958,                 2.9344,                 2.3632,               0.008416,               0.008416,               0.008416
                     50,                 1.9823,                 2.0507,                 2.3168,                0.37091,                0.46975,                0.41904,                0.20623,                 1.8103,                 2.6387,                 2.3913,               0.008383,               0.008383,               0.008383
                     51,                 1.9707,                 1.9713,                 2.3158,                0.13204,                0.44128,                0.14125,                0.06159,                 1.8224,                 2.4375,                 2.4483,                0.00835,                0.00835,                0.00835
                     52,                 1.8603,                 1.9574,                 2.2716,                0.12542,                0.07117,                0.04116,                0.01274,                 2.6203,                  4.683,                 3.2565,               0.008317,               0.008317,               0.008317
