                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    147,                 1.2732,                 0.8992,                 1.5558,                0.80104,                0.69751,                0.80771,                0.52184,                 1.4337,                 1.3106,                 1.9775,               0.005182,               0.005182,               0.005182
                    148,                 1.3862,                  1.185,                 1.7369,                0.92416,                0.86733,                0.94209,                0.67848,                 1.1832,                0.89093,                 1.7191,               0.005149,               0.005149,               0.005149
                    149,                 1.2596,                0.92445,                 1.5807,                0.92373,                 0.9051,                 0.9481,                0.68578,                 1.1239,                 0.8258,                 1.6462,               0.005116,               0.005116,               0.005116
                    150,                 1.3561,                 1.0572,                 1.7391,                0.94831,                0.82918,                0.93883,                0.66094,                 1.1538,                0.82342,                 1.6622,               0.005083,               0.005083,               0.005083
                    151,                 1.2533,                0.90587,                 1.5666,                0.92943,                0.89054,                0.94996,                0.68491,                 1.0917,                0.79162,                 1.6137,                0.00505,                0.00505,                0.00505
                    152,                 1.2165,                0.87488,                 1.5497,                0.88741,                0.89757,                0.94567,                0.68464,                 1.1109,                0.84533,                 1.6201,               0.005017,               0.005017,               0.005017
                    153,                 1.2913,                0.91355,                 1.5773,                0.92758,                0.86605,                0.94757,                 0.6814,                 1.1222,                0.80645,                 1.6311,               0.004984,               0.004984,               0.004984
                    154,                 1.2813,                0.91085,                 1.5551,                0.94384,                0.87544,                0.95688,                0.69224,                 1.1006,                0.78668,                 1.5851,               0.004951,               0.004951,               0.004951
                    155,                  1.272,                0.96204,                 1.6689,                0.93903,                0.89324,                0.95851,                0.69198,                 1.0565,                0.76952,                 1.5651,               0.004918,               0.004918,               0.004918
                    156,                 1.2286,                0.89928,                  1.535,                0.95087,                0.89542,                0.95849,                0.71253,                 1.0223,                0.74703,                 1.5392,               0.004885,               0.004885,               0.004885
                    157,                 1.2248,                0.87448,                 1.5461,                0.88132,                0.85765,                0.93063,                0.64721,                 1.1855,                0.89013,                 1.6944,               0.004852,               0.004852,               0.004852
                    158,                  1.218,                0.93381,                 1.6161,                 0.8373,                0.80582,                  0.889,                0.60705,                 1.2733,                 1.0544,                  1.796,               0.004819,               0.004819,               0.004819
                    159,                 1.2604,                0.89201,                 1.5584,                0.86438,                0.84698,                0.90355,                0.60909,                 1.2811,                0.99814,                 1.7789,               0.004786,               0.004786,               0.004786
                    160,                 1.2594,                0.91088,                 1.6007,                0.85229,                0.87544,                0.92379,                0.65548,                 1.1423,                0.91716,                 1.6561,               0.004753,               0.004753,               0.004753
                    161,                 1.2371,                0.89076,                 1.5308,                0.91437,                0.89324,                0.94766,                0.67345,                 1.0943,                0.94275,                 1.6042,                0.00472,                0.00472,                0.00472
                    162,                 1.1484,                0.84208,                 1.5028,                0.94178,                0.91103,                0.96035,                0.70346,                 1.0102,                0.82709,                 1.5251,               0.004687,               0.004687,               0.004687
                    163,                 1.2899,                0.95488,                 1.6609,                0.94393,                 0.8986,                0.96165,                0.70877,                 1.0091,                0.78973,                 1.5124,               0.004654,               0.004654,               0.004654
                    164,                 1.1722,                 0.8144,                 1.5122,                0.95626,                0.88612,                0.96435,                0.72581,                 1.0122,                0.76367,                 1.5193,               0.004621,               0.004621,               0.004621
                    165,                 1.2042,                0.81371,                 1.4759,                0.89523,                0.82105,                0.91697,                0.64289,                 1.1807,                0.94568,                 1.6811,               0.004588,               0.004588,               0.004588
                    166,                 1.1937,                0.86743,                 1.5072,                0.88323,                0.80071,                0.91001,                0.63393,                 1.2183,                0.98469,                  1.728,               0.004555,               0.004555,               0.004555
                    167,                 1.1562,                0.87006,                 1.5336,                0.90209,                0.88529,                0.94626,                 0.6726,                 1.1676,                0.85047,                 1.6563,               0.004522,               0.004522,               0.004522
                    168,                 1.2624,                0.93436,                  1.656,                0.93781,                0.91103,                0.96364,                 0.6953,                 1.0702,                0.76562,                 1.5321,               0.004489,               0.004489,               0.004489
                    169,                 1.2509,                 0.9326,                 1.6159,                0.93164,                0.93238,                0.96586,                0.71465,                 1.0207,                0.74464,                  1.523,               0.004456,               0.004456,               0.004456
                    170,                 1.2673,                0.91157,                 1.5684,                0.92939,                0.88995,                0.95905,                0.71023,                  1.028,                0.75016,                 1.5454,               0.004423,               0.004423,               0.004423
                    171,                 1.3085,                 0.9472,                 1.6257,                0.93847,                0.86833,                0.94628,                 0.6705,                 1.1429,                0.82248,                 1.6396,                0.00439,                0.00439,                0.00439
                    172,                 1.2249,                 0.8888,                  1.543,                0.92854,                0.87864,                0.95303,                0.70023,                 1.0568,                0.80106,                 1.5703,               0.004357,               0.004357,               0.004357
                    173,                 1.1816,                0.86305,                 1.5721,                0.92988,                0.88256,                 0.9486,                0.69362,                 1.0803,                 0.7964,                 1.5999,               0.004324,               0.004324,               0.004324
                    174,                  1.147,                0.84293,                 1.4623,                0.93079,                0.90747,                0.95659,                0.70559,                  1.024,                0.75368,                 1.5508,               0.004291,               0.004291,               0.004291
                    175,                 1.1625,                0.79178,                 1.4692,                0.95233,                 0.9243,                0.96654,                0.71966,                 1.0157,                0.71502,                 1.5138,               0.004258,               0.004258,               0.004258
                    176,                 1.2415,                0.89059,                 1.5664,                0.93233,                 0.9395,                0.96994,                0.73247,                0.97822,                0.69252,                 1.4863,               0.004225,               0.004225,               0.004225
                    177,                 1.2904,                0.96681,                 1.5615,                0.94562,                0.92829,                0.96267,                0.69951,                 1.0356,                 0.7374,                 1.5285,               0.004192,               0.004192,               0.004192
                    178,                 1.2343,                0.83885,                 1.5636,                0.91264,                0.92949,                0.96044,                0.69605,                 1.0447,                0.75453,                 1.5567,               0.004159,               0.004159,               0.004159
                    179,                 1.2235,                0.85389,                 1.5488,                 0.9346,                0.93594,                0.97079,                 0.7072,                 1.0072,                0.71881,                 1.4999,               0.004126,               0.004126,               0.004126
                    180,                 1.1702,                0.86106,                 1.5328,                0.93839,                0.92147,                0.97081,                0.70414,                 1.0116,                0.72019,                 1.5005,               0.004093,               0.004093,               0.004093
                    181,                 1.1548,                0.81149,                 1.4915,                0.91969,                0.92883,                0.96197,                0.70232,                 1.0411,                0.75324,                 1.5219,                0.00406,                0.00406,                0.00406
                    182,                 1.1488,                 0.8306,                 1.4854,                0.93548,                0.92879,                 0.9725,                0.72131,                 0.9965,                0.71989,                 1.4821,               0.004027,               0.004027,               0.004027
                    183,                  1.183,                0.87822,                  1.596,                0.93713,                0.94662,                0.97499,                0.73064,                0.97667,                0.70682,                 1.4814,               0.003994,               0.003994,               0.003994
                    184,                  1.154,                0.79794,                 1.4935,                0.96665,                 0.9284,                0.97185,                0.72119,                 0.9936,                0.72542,                 1.5115,               0.003961,               0.003961,               0.003961
                    185,                 1.1645,                0.81675,                 1.5224,                0.95213,                 0.9395,                0.97605,                0.73783,                0.95778,                0.67916,                 1.4676,               0.003928,               0.003928,               0.003928
                    186,                  1.143,                0.82587,                 1.4899,                0.94672,                0.94849,                0.97567,                0.74903,                0.97874,                0.69437,                 1.4785,               0.003895,               0.003895,               0.003895
                    187,                 1.2178,                0.84532,                 1.5186,                0.93579,                0.88175,                0.94438,                 0.6847,                 1.0906,                0.87504,                 1.6014,               0.003862,               0.003862,               0.003862
                    188,                 1.1443,                0.81787,                 1.4657,                0.92368,                0.86142,                0.94963,                0.68235,                 1.1071,                0.87436,                 1.6115,               0.003829,               0.003829,               0.003829
                    189,                 1.2431,                0.87594,                 1.5003,                0.94737,                0.89691,                0.97151,                0.70127,                 1.0703,                0.77276,                 1.5666,               0.003796,               0.003796,               0.003796
                    190,                 1.1219,                0.81565,                 1.5135,                0.94317,                0.94306,                0.96337,                0.72424,                0.96588,                0.69628,                 1.4657,               0.003763,               0.003763,               0.003763
                    191,                 1.1318,                0.77454,                 1.4161,                0.95421,                0.88991,                0.95593,                0.67945,                 1.0833,                0.75014,                 1.5546,                0.00373,                0.00373,                0.00373
                    192,                  1.166,                 0.7999,                 1.4766,                0.93461,                 0.9156,                 0.9646,                0.71577,                 1.0211,                0.72704,                 1.5093,               0.003697,               0.003697,               0.003697
                    193,                 1.2212,                0.85355,                 1.5535,                0.92768,                0.91303,                0.96871,                0.69815,                 1.0468,                0.71529,                 1.5304,               0.003664,               0.003664,               0.003664
                    194,                 1.1774,                0.82084,                 1.5061,                0.93689,                0.95091,                 0.9733,                0.71673,                0.98885,                0.68688,                 1.4801,               0.003631,               0.003631,               0.003631
                    195,                 1.1179,                0.79333,                 1.4266,                0.95731,                0.87794,                0.95896,                0.70648,                 1.0413,                0.77947,                 1.5424,               0.003598,               0.003598,               0.003598
                    196,                 1.1368,                0.78968,                 1.4819,                0.96166,                0.89262,                0.96799,                0.72719,                0.99692,                0.72498,                 1.4997,               0.003565,               0.003565,               0.003565
                    197,                 1.1836,                0.84742,                 1.5276,                0.95194,                 0.8968,                0.96925,                0.71477,                 1.0444,                0.74058,                 1.5349,               0.003532,               0.003532,               0.003532
                    198,                 1.1606,                0.81107,                 1.5253,                0.96604,                0.90747,                0.98097,                0.73548,                0.99837,                0.68273,                 1.4773,               0.003499,               0.003499,               0.003499
                    199,                 1.1654,                 0.8468,                 1.5186,                0.96293,                0.92429,                0.98177,                0.73661,                0.97309,                 0.6703,                 1.4676,               0.003466,               0.003466,               0.003466
                    200,                 1.1425,                0.81636,                   1.47,                0.96169,                0.92527,                0.97759,                0.72962,                0.98694,                0.68311,                 1.4884,               0.003433,               0.003433,               0.003433
                    201,                 1.1683,                0.82035,                 1.5452,                0.94653,                0.93238,                0.97863,                0.72375,                 1.0175,                0.70679,                 1.5205,                 0.0034,                 0.0034,                 0.0034
                    202,                 1.0767,                0.75274,                 1.3948,                0.95826,                0.95374,                0.98269,                0.72919,                0.97099,                0.68144,                 1.4651,               0.003367,               0.003367,               0.003367
                    203,                 1.1253,                0.84519,                 1.5038,                0.94593,                 0.9573,                0.98166,                 0.7391,                0.92686,                0.64794,                 1.4088,               0.003334,               0.003334,               0.003334
                    204,                 1.1225,                0.77415,                 1.4459,                0.94394,                0.95881,                0.98375,                0.75035,                0.90248,                0.64417,                  1.401,               0.003301,               0.003301,               0.003301
                    205,                 1.1607,                0.81282,                 1.5059,                 0.9109,                0.94599,                0.97552,                0.72152,                 1.0109,                0.70777,                  1.489,               0.003268,               0.003268,               0.003268
                    206,                 1.1058,                0.82274,                 1.4924,                0.94892,                0.92564,                0.97496,                0.70948,                 1.0347,                0.75098,                 1.5115,               0.003235,               0.003235,               0.003235
                    207,                 1.0675,                0.70317,                 1.4259,                0.94591,                0.87131,                0.95737,                0.68148,                  1.132,                0.81928,                 1.6083,               0.003202,               0.003202,               0.003202
                    208,                 1.0738,                0.77657,                 1.4607,                0.92223,                0.92845,                0.96047,                 0.6926,                 1.0963,                0.75118,                 1.5682,               0.003169,               0.003169,               0.003169
                    209,                 1.1221,                0.80004,                 1.4562,                 0.9323,                0.94662,                0.96877,                0.72445,                0.98852,                0.67796,                  1.475,               0.003136,               0.003136,               0.003136
                    210,                 1.0635,                0.71637,                 1.3964,                0.93425,                0.96083,                0.97983,                0.75502,                0.92637,                0.64236,                 1.4234,               0.003103,               0.003103,               0.003103
                    211,                 1.0814,                0.75683,                 1.4504,                0.95063,                 0.9594,                0.98155,                0.76151,                0.91214,                0.64458,                  1.408,                0.00307,                0.00307,                0.00307
                    212,                 1.1421,                0.84431,                 1.5779,                0.94777,                0.96085,                0.97857,                0.74603,                0.94223,                0.65323,                 1.4382,               0.003037,               0.003037,               0.003037
                    213,                 1.0689,                0.74453,                 1.4597,                0.95255,                 0.9395,                0.97033,                0.72959,                 1.0005,                0.70732,                 1.4909,               0.003004,               0.003004,               0.003004
                    214,                 1.1601,                 0.8307,                  1.522,                0.94681,                0.95023,                0.97558,                0.73447,                0.97238,                0.67272,                 1.4491,               0.002971,               0.002971,               0.002971
                    215,                 1.0845,                0.73604,                 1.4566,                0.95802,                 0.9395,                0.98275,                0.75798,                0.91313,                0.63662,                 1.4029,               0.002938,               0.002938,               0.002938
                    216,                 1.0787,                0.74498,                 1.3755,                0.95459,                0.94306,                  0.985,                0.75888,                0.89914,                0.62416,                 1.3926,               0.002905,               0.002905,               0.002905
                    217,                 1.0844,                0.72917,                 1.4435,                0.94352,                0.95124,                0.98501,                 0.7494,                0.94345,                0.65252,                 1.4324,               0.002872,               0.002872,               0.002872
                    218,                 1.0909,                0.75335,                 1.4666,                0.95469,                 0.9573,                0.98321,                0.74214,                0.97246,                0.65048,                 1.4545,               0.002839,               0.002839,               0.002839
                    219,                   1.13,                0.75775,                 1.4631,                0.95796,                0.95374,                0.98575,                0.75044,                0.91947,                0.60598,                 1.4029,               0.002806,               0.002806,               0.002806
                    220,                 1.1214,                0.75453,                  1.448,                0.97071,                0.94339,                0.98688,                0.75338,                0.92574,                0.61032,                 1.4099,               0.002773,               0.002773,               0.002773
                    221,                 1.1246,                0.77086,                 1.4433,                0.97802,                0.94988,                0.98696,                0.74678,                 0.9207,                0.63333,                 1.4282,                0.00274,                0.00274,                0.00274
